time,open,high,low,close,tick_volume,spread,real_volume
2024-04-30 04:00:00,2333.97,2336.14,2324.96,2326.39,14834,20,0
2024-04-30 08:00:00,2326.4,2326.95,2310.54,2312.84,20655,20,0
2024-04-30 12:00:00,2312.85,2317.97,2304.65,2306.05,22146,20,0
2024-04-30 16:00:00,2306.03,2313.28,2293.13,2294.67,38720,20,0
2024-04-30 20:00:00,2294.67,2297.49,2285.09,2285.26,18437,20,0
2024-05-01 00:00:00,2286.76,2293.28,2285.76,2286.85,6612,20,0
2024-05-01 04:00:00,2286.78,2289.72,2281.58,2283.18,8972,20,0
2024-05-01 08:00:00,2283.17,2289.73,2282.53,2286.25,12030,20,0
2024-05-01 12:00:00,2286.24,2299.98,2285.73,2298.25,19265,20,0
2024-05-01 16:00:00,2298.23,2310.41,2295.2,2303.74,32983,20,0
2024-05-01 20:00:00,2303.71,2328.33,2295.84,2317.19,37490,20,0
2024-05-02 00:00:00,2320.99,2325.98,2318.81,2324.5,8782,19,0
2024-05-02 04:00:00,2324.39,2326.39,2317.38,2318.14,12957,20,0
2024-05-02 08:00:00,2318.13,2319.05,2303.0,2304.0,20543,20,0
2024-05-02 12:00:00,2304.01,2305.38,2293.45,2294.49,24806,20,0
2024-05-02 16:00:00,2294.43,2306.91,2285.47,2299.58,37994,20,0
2024-05-02 20:00:00,2299.59,2309.4,2299.27,2303.42,14069,20,0
2024-05-03 00:00:00,2303.84,2305.66,2300.27,2303.95,6197,20,0
2024-05-03 04:00:00,2303.95,2307.98,2299.76,2307.36,12467,20,0
2024-05-03 08:00:00,2307.38,2308.74,2297.77,2301.33,17092,20,0
2024-05-03 12:00:00,2301.29,2320.46,2294.56,2304.68,20985,20,0
2024-05-03 16:00:00,2304.72,2308.87,2277.26,2299.21,40280,20,0
2024-05-03 20:00:00,2299.21,2303.41,2296.02,2301.91,12038,20,0
2024-05-06 00:00:00,2304.55,2306.07,2291.82,2296.0,8333,19,0
2024-05-06 04:00:00,2296.01,2315.32,2295.86,2309.18,19787,20,0
2024-05-06 08:00:00,2309.18,2324.1,2308.67,2318.24,18592,20,0
2024-05-06 12:00:00,2318.24,2330.12,2314.51,2323.26,15509,20,0
2024-05-06 16:00:00,2323.25,2332.05,2317.62,2325.43,29917,20,0
2024-05-06 20:00:00,2325.59,2328.78,2321.01,2324.1,12377,20,0
2024-05-07 00:00:00,2324.06,2329.46,2322.18,2329.22,6743,20,0
2024-05-07 04:00:00,2329.24,2329.87,2319.56,2322.62,16824,20,0
2024-05-07 08:00:00,2322.63,2323.92,2311.67,2315.68,18155,20,0
